"area";"selection";"stop";"length_mean";"length_median";"min_length";"max_length";"se";"correlation";"rmse";"bias";"min_exp";"max_exp";"n_exp0";"n_exp_rmax";"overlap"
"CN";"MIF";"EP30RE015";15,0872274143302;15;15;18;0,261655069530809;0,941860013716874;0,250651843576699;0,0242339964448628;0;1;647;19;0,386759296917159
"CN";"MIF";"EP30RE015";15,0836671117045;15;15;18;0,266368179443608;0,939715057695318;0,260114721224047;0,0380389513174113;0;1;640;19;0,385362881387065
"CN";"MIF";"EP30RE015";15,0854472630174;15;15;18;0,263915871238229;0,93964767580848;0,257736844429916;0,035665045097164;0;1;643;19;0,388793840614488
"CN";"MIF";"EP30RE015";15,0854472630174;15;15;19;0,264688368753847;0,942815083990497;0,251219479923262;0,0386578646145474;0;1;644;19;0,388071738937294
"CN";"MIF";"EP30RE015";15,097018246551;15;15;19;0,265900262358153;0,936648269904755;0,261750508187405;0,0362975587104621;0;1;645;19;0,390830730413695
"CN";"MIF";"EP30RE015";15,0761014686248;15;15;18;0,263446706973207;0,938348638776951;0,259123343853816;0,028958331255719;0;1;642;19;0,388529269526816
"CN";"MIF";"EP30RE015";15,0881174899866;15;15;21;0,261825540649217;0,939295386121776;0,254894462913892;0,020874765845889;0;1;645;19;0,386830574165745
"CN";"MIF";"EP30RE015";15,0854472630174;15;15;20;0,262664108396276;0,938369784473661;0,256619697171553;0,0253182572626015;0;1;640;20;0,390781432045525
"CN";"MIF";"EP30RE015";15,0898976412995;15;15;19;0,264266915960089;0,936900988509458;0,262964010193127;0,0358028628296235;0;1;641;19;0,392252052457579
"CN";"MIF";"EP30RE015";15,097018246551;15;15;20;0,263956664996924;0,941384899851523;0,25271709219642;0,0296527760308968;0;1;645;19;0,388218909493726
"CN";"MIF";"EP30RE015";15,0987983978638;15;15;19;0,265461783882109;0,946326780336857;0,24257469139626;0,0382660460942595;0;1;645;19;0,390852337755102
"CN";"MIF";"EP30RE015";15,0943480195817;15;15;19;0,266260750543141;0,939539465658823;0,257287046609147;0,0401334966300247;0;1;643;19;0,389479742420497
"CN";"PR1";"TF45";45;45;45;45;0,223358431400145;0,953219134292771;0,222912511418078;0,0232076533731787;0,00578549176680018;0,299955496217178;0;0;0,182155239660782
"CN";"PR1";"TF45";45;45;45;45;0,223629954122883;0,951057441670055;0,22938592100366;0,0306138784786915;0,00534045393858478;0,299955496217178;0;0;0,182087556411785
"CN";"PR1";"TF45";45;45;45;45;0,223846795743163;0,952485867291935;0,227772157793451;0,0303783374587217;0,00534045393858478;0,299955496217178;0;0;0,181357177660452
"CN";"PR1";"TF45";45;45;45;45;0,223187530691596;0,953641600164052;0,223450334992993;0,0239136763989591;0,00489541611036938;0,299955496217178;0;0;0,181845079785844
"CN";"PR1";"TF45";45;45;45;45;0,223042258107552;0,954205383779312;0,222927368310024;0,0298239715024379;0,00445037828215398;0,299955496217178;0;0;0,181791885628777
"CN";"PR1";"TF45";45;45;45;45;0,223957327564834;0,955452878590777;0,221918565781439;0,0342168215013904;0,00445037828215398;0,299955496217178;0;0;0,181750627807468
"CN";"PR1";"TF45";45;45;45;45;0,224299418949501;0,9549822412072;0,223063375215971;0,033590028418737;0,00578549176680018;0,299955496217178;0;0;0,181765803502782
"CN";"PR1";"TF45";45;45;45;45;0,223113861928873;0,952959905749594;0,224436123833293;0,0286011085293705;0,00489541611036938;0,299955496217178;0;0;0,181862121633946
"CN";"PR1";"TF45";45;45;45;45;0,222532431313512;0,954725790683871;0,219773531547125;0,0238469981345968;0,00667556742323097;0,299955496217178;0;0;0,181089208683218
"CN";"PR1";"TF45";45;45;45;45;0,223232518734759;0,952802288070615;0,226876726472863;0,0289131212674479;0,00534045393858478;0,299955496217178;0;0;0,181364158128192
"CN";"PR1";"TF45";45;45;45;45;0,224731230528437;0,952460719789548;0,230344950746284;0,0384654508694445;0,00578549176680018;0,299955496217178;0;0;0,181533414665025
"CN";"PR1";"TF45";45;45;45;45;0,22315886999087;0,952316987523412;0,227174206373682;0,0316033683336058;0,00534045393858478;0,299955496217178;0;0;0,18219046769596
"CN";"PR1";"TF45";45;45;45;45;0,225384887937373;0,949631996559789;0,237059782575156;0,0382950834686396;0,00445037828215398;0,299955496217178;0;0;0,180761522816766
"CN";"PR1";"TF45";45;45;45;45;0,222161643852752;0,949734335933112;0,230221750885114;0,021179403216369;0,00400534045393859;0,299955496217178;0;0;0,181346570518426
"CN";"PR1";"TF45";45;45;45;45;0,222603159831391;0,948839252197395;0,232667186429893;0,0277172561706293;0,00489541611036938;0,299955496217178;0;0;0,181638834692335
"CN";"PR1";"TF45";45;45;45;45;0,222617806809986;0,954232052297726;0,221046629150769;0,0278856754045587;0,00578549176680018;0,299955496217178;0;0;0,181851030348508
"CN";"PR1";"TF45";45;45;45;45;0,223758052061115;0,952956991747046;0,226167405512743;0,0318698395126557;0,00489541611036938;0,299955496217178;0;0;0,181178704793577
"CN";"PR1";"TF45";45;45;45;45;0,223778370498454;0,951388359209069;0,232299129949915;0,0336340838308715;0,00489541611036938;0,299955496217178;0;0;0,181122121632626
"CN";"PR1";"TF45";45;45;45;45;0,223826267905378;0,95285142447231;0,22666709445732;0,0345048945543941;0,00534045393858478;0,299955496217178;0;0;0,182030453896992
"CN";"PR1";"TF45";45;45;45;45;0,224725313554988;0,952207280185003;0,22889304219753;0,0407847143418781;0,00534045393858478;0,299955496217178;0;0;0,182133057089905
"CN";"PR1";"TF20";20;20;20;20;0,284427089181617;0,930532516401898;0,273881748198694;0,0363294779586543;0,000445037828215398;0,299955496217178;0;0;0,157250363388142
"CN";"PR1";"TF20";20;20;20;20;0,285529337795476;0,926150833169401;0,285873957323057;0,0489886784197199;0,00133511348464619;0,299955496217178;0;0;0,155991997637556
"CN";"PR1";"TF20";20;20;20;20;0,282614990527061;0,930431891347021;0,276667356116915;0,0352319563955541;0,000890075656430797;0,299955496217178;0;0;0,155372430510621
"CN";"PR1";"TF20";20;20;20;20;0,284677193609077;0,93376051669744;0,272061075613445;0,0435745884310863;0,000890075656430797;0,299955496217178;0;0;0,155901524437766
"CN";"PR1";"TF20";20;20;20;20;0,284848294806295;0,9279965987854;0,279473942211761;0,0385741783116857;0,00133511348464619;0,299955496217178;0;0;0,156171082285652
"CN";"PR1";"TF20";20;20;20;20;0,285004636078534;0,931360379861538;0,27553809130973;0,0408326829609524;0,000890075656430797;0,299955496217178;0;0;0,155008992853845
"CN";"PR1";"TF20";20;20;20;20;0,285656191809138;0,933509400088073;0,270979449013258;0,0436099988874525;0,000890075656430797;0,299955496217178;0;0;0,155814933187879
"CN";"PR1";"TF20";20;20;20;20;0,283881368283676;0,933957642751063;0,27106758172482;0,0354590829791494;0,000890075656430797;0,299955496217178;0;0;0,155577777738166
"CN";"PR1";"TF20";20;20;20;20;0,282175255329528;0,933853131805135;0,265594655388365;0,0279684054012531;0,000445037828215398;0,299955496217178;0;0;0,155887244407764
"CN";"PR1";"TF20";20;20;20;20;0,285861334481249;0,929670954218035;0,277768868645216;0,0461941624115999;0,000890075656430797;0,299955496217178;0;0;0,156887856607108
"CN";"PR1";"TF20";20;20;20;20;0,284959036913564;0,933082949935083;0,272761361435765;0,0421024910503584;0,00133511348464619;0,299955496217178;0;0;0,154860844969775
"CN";"PR1";"TF20";20;20;20;20;0,284306458921022;0,932930828096322;0,269066511236345;0,0376723654580192;0,000890075656430797;0,299955496217178;0;0;0,156670447606649
"CN";"PR1";"TF20";20;20;20;20;0,285416118300391;0,931872307194493;0,274523780643746;0,0436137121960964;0,00133511348464619;0,299955496217178;0;0;0,15629324487241
"CN";"PR1";"TF20";20;20;20;20;0,284087667676155;0,93238582597674;0,270890514715493;0,0367590861776633;0,00133511348464619;0,299955496217178;0;0;0,156152306323875
"CN";"PR1";"TF20";20;20;20;20;0,283527127736128;0,932324353657034;0,270724989057818;0,0334055053261437;0,000890075656430797;0,299955496217178;0;0;0,156770685098799
"CN";"PR1";"TF20";20;20;20;20;0,281913802839858;0,935395327779133;0,261780148656824;0,0306703854333765;0,000445037828215398;0,299955496217178;0;0;0,156300513625545
"CN";"PR1";"TF20";20;20;20;20;0,28339270975316;0,930373162526592;0,276753975754911;0,0329182403029517;0,000890075656430797;0,299955496217178;0;0;0,155578173855503
"CN";"PR1";"TF20";20;20;20;20;0,283278832165361;0,936432330739182;0,265223654331388;0,0345562525330289;0,000890075656430797;0,299955496217178;0;0;0,155966824380784
"CN";"PR1";"TF20";20;20;20;20;0,285418446962712;0,934482751358748;0,268619156349406;0,0458963006836262;0,000445037828215398;0,299955496217178;0;0;0,154873679171497
"CN";"PR1";"TF20";20;20;20;20;0,285153544212253;0,932804052153111;0,273207734760775;0,0480058944351846;0,000445037828215398;0,299955496217178;0;0;0,155907089886352
"CN";"PR2";"TF45";45;45;45;45;0,231794368296389;0,951384857520558;0,228721763261497;0,0302659123786566;0,00890075656430797;0,299955496217178;0;0;0,151000567085981
"CN";"PR2";"TF45";45;45;45;45;0,232608055454211;0,950651584894964;0,232781107783321;0,0392925128754742;0,0115709835336004;0,299955496217178;0;0;0,151460793813422
"CN";"PR2";"TF45";45;45;45;45;0,231887636636093;0,953116111351721;0,226895129082202;0,0336526093147926;0,0124610591900312;0,299955496217178;0;0;0,150258560090153
"CN";"PR2";"TF45";45;45;45;45;0,231705153763183;0,949501973116169;0,235334037013306;0,0284116810614071;0,0115709835336004;0,299955496217178;0;0;0,151001843464067
